2023-05-04 13:47:21,024; CRITICAL; MainThread          ; logger    ; <module>                 ( 45); PROGRAM START
2023-05-04 13:48:09,728; INFO    ; GR1_CCW             ; sensor    ; wait_for_encoder         (174); GR1_ROTATION_ENCODER :Value reached: 230
2023-05-04 13:48:09,728; INFO    ; GR1_CCW             ; actuator  ; run_to_encoder_value     (183); GR1_CCW :Stopped at: 230
2023-05-04 13:48:09,729; INFO    ; GR1_CCW             ; actuator  ; stop                     (284); GR1_CCW :Stopped actuator
2023-05-04 13:48:09,731; INFO    ; GR1_CCW             ; actuator  ; set_pwm                  (298); GR1_ROTATION_PWM :Set to 100%
2023-05-04 13:48:10,165; INFO    ; MPS_TABLE_CCW       ; sensor    ; wait_for_detect          (139); MPS_REF_SW_TABLE_VG :Detection
2023-05-04 13:48:10,167; INFO    ; MPS_TABLE_CCW       ; actuator  ; stop                     (284); MPS_TABLE_CCW :Stopped actuator
2023-05-04 13:48:10,169; DEBUG   ; MPS_TABLE_CCW       ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): MPS_REF_SW_TABLE_VG
2023-05-04 13:48:10,287; INFO    ; GR1                 ; sensor    ; wait_for_encoder         (174); GR1_CLAW_COUNTER :Value reached: 9
2023-05-04 13:48:10,288; INFO    ; GR1                 ; actuator  ; run_to_encoder_value     (183); GR1_CLOSE :Stopped at: 9
2023-05-04 13:48:10,290; INFO    ; GR1                 ; actuator  ; stop                     (284); GR1_CLOSE :Stopped actuator
2023-05-04 13:48:10,544; INFO    ; MPS                 ; sensor    ; wait_for_detect          (139); CB1_SENS_START :Detection
2023-05-04 13:48:10,545; INFO    ; MPS                 ; actuator  ; stop                     (284); MPS_CB_FWD :Stopped actuator
2023-05-04 13:48:10,547; DEBUG   ; MPS                 ; sensor    ; __del__                  ( 70); Destroyed Sensor(LIGHT_BARRIER): CB1_SENS_START
2023-05-04 13:48:10,547; WARNING ; MPS                 ; machine   ; switch_state             ( 78); MPS_CB: Switching state to: END
2023-05-04 13:48:10,548; DEBUG   ; MPS                 ; actuator  ; __del__                  ( 63); Destroyed Actuator: MPS_CB
2023-05-04 13:48:10,549; DEBUG   ; MPS                 ; conveyor  ; __del__                  ( 46); Destroyed Conveyor: MPS_CB
2023-05-04 13:48:10,550; DEBUG   ; MPS                 ; actuator  ; __del__                  ( 63); Destroyed Actuator: MPS_TABLE
2023-05-04 13:48:10,551; WARNING ; MPS                 ; machine   ; switch_state             ( 78); MPS: Switching state to: END
2023-05-04 13:48:10,558; DEBUG   ; MainThread          ; mp_station; __del__                  ( 49); Destroyed Multi Purpose Station: MPS
2023-05-04 13:48:12,127; INFO    ; GR1_DOWN            ; sensor    ; wait_for_encoder         (174); GR1_VERTICAL_ENCODER :Value reached: 1570
2023-05-04 13:48:12,129; INFO    ; GR1_DOWN            ; actuator  ; run_to_encoder_value     (183); GR1_DOWN :Stopped at: 1570
2023-05-04 13:48:12,132; INFO    ; GR1_DOWN            ; actuator  ; stop                     (284); GR1_DOWN :Stopped actuator
2023-05-04 13:48:13,744; INFO    ; CB1                 ; sensor    ; wait_for_detect          (139); CB1_SENS_END :Detection
2023-05-04 13:48:13,746; INFO    ; CB1                 ; actuator  ; stop                     (284); CB1_FWD :Stopped actuator
2023-05-04 13:48:13,748; DEBUG   ; CB1                 ; sensor    ; __del__                  ( 70); Destroyed Sensor(LIGHT_BARRIER): CB1_SENS_END
2023-05-04 13:48:13,749; WARNING ; CB1                 ; machine   ; switch_state             ( 78); CB1: Switching state to: END
2023-05-04 13:48:13,751; DEBUG   ; CB1                 ; actuator  ; __del__                  ( 63); Destroyed Actuator: CB1
2023-05-04 13:48:14,705; INFO    ; GR1_FWD             ; sensor    ; wait_for_encoder         (174); GR1_HORIZONTAL_COUNTER :Value reached: 65
2023-05-04 13:48:14,706; INFO    ; GR1_FWD             ; actuator  ; run_to_encoder_value     (183); GR1_FWD :Stopped at: 65
2023-05-04 13:48:14,707; INFO    ; GR1_FWD             ; actuator  ; stop                     (284); GR1_FWD :Stopped actuator
2023-05-04 13:48:14,709; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (249); GR1 :Axes moved to: (r:245, h:65, v:1600)
2023-05-04 13:48:14,710; INFO    ; GR1                 ; robot_3d  ; move_to_position         (207); GR1 :Position reached: (r:245, h:65, v:1600)
2023-05-04 13:48:14,711; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: END
2023-05-04 13:48:14,713; DEBUG   ; MainThread          ; conveyor  ; __del__                  ( 46); Destroyed Conveyor: CB1
2023-05-04 13:48:14,716; INFO    ; GR1                 ; robot_3d  ; move_to_position         (170); GR1 :Moving to Position: (r:-, h:-, v:2100)
2023-05-04 13:48:14,718; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: TO_DESTINATION
2023-05-04 13:48:14,720; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (219); GR1 :Moving axes to: (r:-, h:-, v:2100)
2023-05-04 13:48:14,730; INFO    ; GR1_DOWN            ; actuator  ; run_to_encoder_value     (163); GR1_DOWN :Actuator running to value: 2100, at: GR1_VERTICAL_ENCODER
2023-05-04 13:48:14,734; INFO    ; GR1_DOWN            ; actuator  ; start                    (274); GR1_DOWN :Started actuator
2023-05-04 13:48:15,848; INFO    ; GR1_DOWN            ; sensor    ; wait_for_encoder         (174); GR1_VERTICAL_ENCODER :Value reached: 2062
2023-05-04 13:48:15,849; INFO    ; GR1_DOWN            ; actuator  ; run_to_encoder_value     (183); GR1_DOWN :Stopped at: 2062
2023-05-04 13:48:15,850; INFO    ; GR1_DOWN            ; actuator  ; stop                     (284); GR1_DOWN :Stopped actuator
2023-05-04 13:48:15,853; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (249); GR1 :Axes moved to: (r:-, h:-, v:2100)
2023-05-04 13:48:15,855; INFO    ; GR1                 ; robot_3d  ; move_to_position         (207); GR1 :Position reached: (r:-, h:-, v:2100)
2023-05-04 13:48:15,857; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: END
2023-05-04 13:48:15,879; INFO    ; GR1                 ; grip_robot; grip                     ( 65); GR1 :Gripping
2023-05-04 13:48:15,881; INFO    ; GR1                 ; actuator  ; run_to_encoder_value     (163); GR1_CLOSE :Actuator running to value: 12, at: GR1_CLAW_COUNTER
2023-05-04 13:48:15,882; INFO    ; GR1                 ; actuator  ; start                    (274); GR1_CLOSE :Started actuator
2023-05-04 13:48:16,204; INFO    ; GR1                 ; sensor    ; wait_for_encoder         (174); GR1_CLAW_COUNTER :Value reached: 12
2023-05-04 13:48:16,206; INFO    ; GR1                 ; actuator  ; run_to_encoder_value     (183); GR1_CLOSE :Stopped at: 12
2023-05-04 13:48:16,207; INFO    ; GR1                 ; actuator  ; stop                     (284); GR1_CLOSE :Stopped actuator
2023-05-04 13:48:16,208; INFO    ; GR1                 ; robot_3d  ; move_to_position         (170); GR1 :Moving to Position: (r:3840, h:78, v:1950)
2023-05-04 13:48:16,210; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: TO_MOVING_POS
2023-05-04 13:48:16,211; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (219); GR1 :Moving axes to: (r:-, h:-, v:1400)
2023-05-04 13:48:16,221; INFO    ; GR1_UP              ; actuator  ; run_to_encoder_value     (163); GR1_UP :Actuator running to value: 1400, at: GR1_VERTICAL_ENCODER
2023-05-04 13:48:16,221; INFO    ; GR1_UP              ; actuator  ; start                    (274); GR1_UP :Started actuator
2023-05-04 13:48:18,028; INFO    ; GR1_UP              ; sensor    ; wait_for_encoder         (174); GR1_VERTICAL_ENCODER :Value reached: 1431
2023-05-04 13:48:18,029; INFO    ; GR1_UP              ; actuator  ; run_to_encoder_value     (183); GR1_UP :Stopped at: 1431
2023-05-04 13:48:18,030; INFO    ; GR1_UP              ; actuator  ; stop                     (284); GR1_UP :Stopped actuator
2023-05-04 13:48:18,032; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (249); GR1 :Axes moved to: (r:-, h:-, v:1400)
2023-05-04 13:48:18,033; DEBUG   ; GR1                 ; sensor    ; __init__                 ( 66); Created Sensor(LIGHT_BARRIER): CB1_SENS_END
2023-05-04 13:48:18,035; DEBUG   ; GR1                 ; sensor    ; __del__                  ( 70); Destroyed Sensor(LIGHT_BARRIER): CB1_SENS_END
2023-05-04 13:48:18,036; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: MOVING
2023-05-04 13:48:18,038; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (219); GR1 :Moving axes to: (r:3840, h:78, v:-)
2023-05-04 13:48:18,042; INFO    ; GR1_CCW             ; actuator  ; run_to_encoder_value     (163); GR1_CCW :Actuator running to value: 3840, at: GR1_ROTATION_ENCODER
2023-05-04 13:48:18,045; INFO    ; GR1_CCW             ; actuator  ; start                    (274); GR1_CCW :Started actuator
2023-05-04 13:48:18,050; INFO    ; GR1_FWD             ; actuator  ; run_to_encoder_value     (163); GR1_FWD :Actuator running to value: 78, at: GR1_HORIZONTAL_COUNTER
2023-05-04 13:48:18,052; INFO    ; GR1_FWD             ; actuator  ; start                    (274); GR1_FWD :Started actuator
2023-05-04 13:48:19,325; INFO    ; GR1_FWD             ; sensor    ; wait_for_encoder         (174); GR1_HORIZONTAL_COUNTER :Value reached: 78
2023-05-04 13:48:19,326; INFO    ; GR1_FWD             ; actuator  ; run_to_encoder_value     (183); GR1_FWD :Stopped at: 78
2023-05-04 13:48:19,328; INFO    ; GR1_FWD             ; actuator  ; stop                     (284); GR1_FWD :Stopped actuator
2023-05-04 13:48:25,866; INFO    ; GR1_CCW             ; sensor    ; wait_for_encoder         (174); GR1_ROTATION_ENCODER :Value reached: 3711
2023-05-04 13:48:25,867; INFO    ; GR1_CCW             ; actuator  ; set_pwm                  (298); GR1_ROTATION_PWM :Set to 15%
2023-05-04 13:48:25,868; INFO    ; GR1_CCW             ; actuator  ; start                    (274); GR1_CCW :Started actuator
2023-05-04 13:48:26,245; INFO    ; GR1_CCW             ; sensor    ; wait_for_encoder         (174); GR1_ROTATION_ENCODER :Value reached: 3830
2023-05-04 13:48:26,246; INFO    ; GR1_CCW             ; actuator  ; run_to_encoder_value     (183); GR1_CCW :Stopped at: 3830
2023-05-04 13:48:26,247; INFO    ; GR1_CCW             ; actuator  ; stop                     (284); GR1_CCW :Stopped actuator
2023-05-04 13:48:26,248; INFO    ; GR1_CCW             ; actuator  ; set_pwm                  (298); GR1_ROTATION_PWM :Set to 100%
2023-05-04 13:48:26,250; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (249); GR1 :Axes moved to: (r:3840, h:78, v:-)
2023-05-04 13:48:26,250; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: TO_DESTINATION
2023-05-04 13:48:26,251; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (219); GR1 :Moving axes to: (r:3840, h:78, v:1950)
2023-05-04 13:48:26,260; INFO    ; GR1_CCW             ; actuator  ; move_axis                (255); GR1_CCW :Axis already at position
2023-05-04 13:48:26,260; INFO    ; GR1_BWD             ; actuator  ; move_axis                (255); GR1_BWD :Axis already at position
2023-05-04 13:48:26,263; INFO    ; GR1_DOWN            ; actuator  ; run_to_encoder_value     (163); GR1_DOWN :Actuator running to value: 1950, at: GR1_VERTICAL_ENCODER
2023-05-04 13:48:26,271; INFO    ; GR1_DOWN            ; actuator  ; start                    (274); GR1_DOWN :Started actuator
2023-05-04 13:48:27,525; INFO    ; GR1_DOWN            ; sensor    ; wait_for_encoder         (174); GR1_VERTICAL_ENCODER :Value reached: 1913
2023-05-04 13:48:27,526; INFO    ; GR1_DOWN            ; actuator  ; run_to_encoder_value     (183); GR1_DOWN :Stopped at: 1913
2023-05-04 13:48:27,527; INFO    ; GR1_DOWN            ; actuator  ; stop                     (284); GR1_DOWN :Stopped actuator
2023-05-04 13:48:27,528; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (249); GR1 :Axes moved to: (r:3840, h:78, v:1950)
2023-05-04 13:48:27,530; INFO    ; GR1                 ; robot_3d  ; move_to_position         (207); GR1 :Position reached: (r:3840, h:78, v:1950)
2023-05-04 13:48:27,533; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: END
2023-05-04 13:48:27,534; INFO    ; GR1                 ; grip_robot; release                  ( 86); GR1 :Releasing
2023-05-04 13:48:27,535; INFO    ; GR1                 ; actuator  ; run_to_encoder_value     (163); GR1_OPEN :Actuator running to value: 9, at: GR1_CLAW_COUNTER
2023-05-04 13:48:27,536; INFO    ; GR1                 ; actuator  ; start                    (274); GR1_OPEN :Started actuator
2023-05-04 13:48:27,887; INFO    ; GR1                 ; sensor    ; wait_for_encoder         (174); GR1_CLAW_COUNTER :Value reached: 9
2023-05-04 13:48:27,888; INFO    ; GR1                 ; actuator  ; run_to_encoder_value     (183); GR1_OPEN :Stopped at: 9
2023-05-04 13:48:27,888; INFO    ; GR1                 ; actuator  ; stop                     (284); GR1_OPEN :Stopped actuator
2023-05-04 13:48:27,896; WARNING ; MainThread          ; machine   ; switch_state             ( 78); Main: Switching state to: PM
2023-05-04 13:48:27,897; INFO    ; GR1                 ; robot_3d  ; move_to_position         (170); GR1 :Moving to Position: (r:-, h:-, v:1600)
2023-05-04 13:48:27,898; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: TO_DESTINATION
2023-05-04 13:48:27,901; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (219); GR1 :Moving axes to: (r:-, h:-, v:1600)
2023-05-04 13:48:27,918; DEBUG   ; MainThread          ; punch_mach; __init__                 ( 41); Created Punching Machine: PM
2023-05-04 13:48:27,914; INFO    ; GR1_UP              ; actuator  ; run_to_encoder_value     (163); GR1_UP :Actuator running to value: 1600, at: GR1_VERTICAL_ENCODER
2023-05-04 13:48:27,921; INFO    ; GR1_UP              ; actuator  ; start                    (274); GR1_UP :Started actuator
2023-05-04 13:48:27,942; DEBUG   ; PM                  ; conveyor  ; __init__                 ( 42); Created Conveyor: CB2
2023-05-04 13:48:27,943; DEBUG   ; PM                  ; actuator  ; __init__                 ( 59); Created Actuator: PM
2023-05-04 13:48:27,944; DEBUG   ; PM                  ; conveyor  ; __init__                 ( 42); Created Conveyor: PM_CB
2023-05-04 13:48:27,945; WARNING ; PM                  ; machine   ; switch_state             ( 78); PM: Switching state to: CB2
2023-05-04 13:48:27,949; WARNING ; PM                  ; machine   ; switch_state             ( 78); PM: Switching state to: CB_TO_PUNCH
2023-05-04 13:48:27,949; WARNING ; CB2                 ; machine   ; switch_state             ( 78); CB2: Switching state to: RUN
2023-05-04 13:48:27,952; DEBUG   ; CB2                 ; actuator  ; __init__                 ( 59); Created Actuator: CB2
2023-05-04 13:48:27,953; INFO    ; CB2                 ; actuator  ; run_to_sensor            ( 82); CB2_FWD :Actuator running to sensor: PM_SENS_IN
2023-05-04 13:48:27,955; DEBUG   ; CB2                 ; sensor    ; __init__                 ( 66); Created Sensor(LIGHT_BARRIER): PM_SENS_IN
2023-05-04 13:48:27,956; INFO    ; CB2                 ; actuator  ; start                    (274); CB2_FWD :Started actuator
2023-05-04 13:48:27,960; WARNING ; PM                  ; machine   ; switch_state             ( 78); PM_CB: Switching state to: WAIT
2023-05-04 13:48:27,962; DEBUG   ; PM                  ; sensor    ; __init__                 ( 66); Created Sensor(LIGHT_BARRIER): CB2_SENS_END
2023-05-04 13:48:27,963; INFO    ; PM_UP               ; actuator  ; run_to_sensor            ( 82); PM_UP :Actuator running to sensor: PM_REF_SW_TOP
2023-05-04 13:48:27,965; DEBUG   ; PM_UP               ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): PM_REF_SW_TOP
2023-05-04 13:48:27,965; INFO    ; PM_UP               ; actuator  ; run_to_sensor            ( 89); PM_UP :Actuator already at sensor: PM_REF_SW_TOP
2023-05-04 13:48:27,970; INFO    ; PM_UP               ; actuator  ; stop                     (284); PM_UP :Stopped actuator
2023-05-04 13:48:27,971; DEBUG   ; PM_UP               ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): PM_REF_SW_TOP
2023-05-04 13:48:28,809; INFO    ; GR1_UP              ; sensor    ; wait_for_encoder         (174); GR1_VERTICAL_ENCODER :Value reached: 1640
2023-05-04 13:48:28,810; INFO    ; GR1_UP              ; actuator  ; run_to_encoder_value     (183); GR1_UP :Stopped at: 1640
2023-05-04 13:48:28,812; INFO    ; GR1_UP              ; actuator  ; stop                     (284); GR1_UP :Stopped actuator
2023-05-04 13:48:28,814; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (249); GR1 :Axes moved to: (r:-, h:-, v:1600)
2023-05-04 13:48:28,815; INFO    ; GR1                 ; robot_3d  ; move_to_position         (207); GR1 :Position reached: (r:-, h:-, v:1600)
2023-05-04 13:48:28,817; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: END
2023-05-04 13:48:31,144; INFO    ; PM                  ; sensor    ; wait_for_detect          (139); CB2_SENS_END :Detection
2023-05-04 13:48:31,145; DEBUG   ; PM                  ; sensor    ; __del__                  ( 70); Destroyed Sensor(LIGHT_BARRIER): CB2_SENS_END
2023-05-04 13:48:31,146; WARNING ; PM                  ; machine   ; switch_state             ( 78); PM_CB: Switching state to: RUN
2023-05-04 13:48:31,147; DEBUG   ; PM                  ; actuator  ; __init__                 ( 59); Created Actuator: PM_CB
2023-05-04 13:48:31,148; INFO    ; PM                  ; actuator  ; run_to_sensor            ( 82); PM_CB_FWD :Actuator running to sensor: PM_SENS_PM
2023-05-04 13:48:31,149; DEBUG   ; PM                  ; sensor    ; __init__                 ( 66); Created Sensor(LIGHT_BARRIER): PM_SENS_PM
2023-05-04 13:48:31,150; INFO    ; PM                  ; actuator  ; start                    (274); PM_CB_FWD :Started actuator
2023-05-04 13:48:32,504; INFO    ; CB2                 ; sensor    ; wait_for_detect          (139); PM_SENS_IN :Detection
2023-05-04 13:48:32,506; INFO    ; CB2                 ; actuator  ; stop                     (284); CB2_FWD :Stopped actuator
2023-05-04 13:48:32,507; DEBUG   ; CB2                 ; sensor    ; __del__                  ( 70); Destroyed Sensor(LIGHT_BARRIER): PM_SENS_IN
2023-05-04 13:48:32,507; WARNING ; CB2                 ; machine   ; switch_state             ( 78); CB2: Switching state to: END
2023-05-04 13:48:32,508; DEBUG   ; CB2                 ; actuator  ; __del__                  ( 63); Destroyed Actuator: CB2
2023-05-04 13:48:35,344; INFO    ; PM                  ; sensor    ; wait_for_detect          (139); PM_SENS_PM :Detection
2023-05-04 13:48:35,344; INFO    ; PM                  ; actuator  ; stop                     (284); PM_CB_FWD :Stopped actuator
2023-05-04 13:48:35,345; DEBUG   ; PM                  ; sensor    ; __del__                  ( 70); Destroyed Sensor(LIGHT_BARRIER): PM_SENS_PM
2023-05-04 13:48:35,346; WARNING ; PM                  ; machine   ; switch_state             ( 78); PM_CB: Switching state to: END
2023-05-04 13:48:35,347; DEBUG   ; PM                  ; actuator  ; __del__                  ( 63); Destroyed Actuator: PM_CB
2023-05-04 13:48:35,348; WARNING ; PM                  ; machine   ; switch_state             ( 78); PM: Switching state to: PUNCHING
2023-05-04 13:48:35,349; INFO    ; PM                  ; punch_mach; run                      ( 74); Punching product
2023-05-04 13:48:35,351; INFO    ; PM                  ; actuator  ; run_to_sensor            ( 82); PM_DOWN :Actuator running to sensor: PM_REF_SW_BOTTOM
2023-05-04 13:48:35,352; DEBUG   ; PM                  ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): PM_REF_SW_BOTTOM
2023-05-04 13:48:35,353; INFO    ; PM                  ; actuator  ; start                    (274); PM_DOWN :Started actuator
2023-05-04 13:48:35,944; INFO    ; PM                  ; sensor    ; wait_for_detect          (139); PM_REF_SW_BOTTOM :Detection
2023-05-04 13:48:35,946; INFO    ; PM                  ; actuator  ; stop                     (284); PM_DOWN :Stopped actuator
2023-05-04 13:48:35,948; DEBUG   ; PM                  ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): PM_REF_SW_BOTTOM
2023-05-04 13:48:35,950; INFO    ; PM_UP               ; actuator  ; run_to_sensor            ( 82); PM_UP :Actuator running to sensor: PM_REF_SW_TOP
2023-05-04 13:48:35,952; DEBUG   ; PM_UP               ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): PM_REF_SW_TOP
2023-05-04 13:48:35,951; WARNING ; PM                  ; machine   ; switch_state             ( 78); PM: Switching state to: CB_TO_CB2
2023-05-04 13:48:35,955; INFO    ; PM_UP               ; actuator  ; start                    (274); PM_UP :Started actuator
2023-05-04 13:48:35,958; WARNING ; PM_CB               ; machine   ; switch_state             ( 78); PM_CB: Switching state to: RUN
2023-05-04 13:48:35,961; DEBUG   ; PM_CB               ; actuator  ; __init__                 ( 59); Created Actuator: PM_CB
2023-05-04 13:48:35,960; WARNING ; PM                  ; machine   ; switch_state             ( 78); PM: Switching state to: CB2
2023-05-04 13:48:35,962; INFO    ; PM_CB               ; actuator  ; run_to_sensor            ( 82); PM_CB_BWD :Actuator running to sensor: CB2_SENS_END
2023-05-04 13:48:35,966; DEBUG   ; PM_CB               ; sensor    ; __init__                 ( 66); Created Sensor(LIGHT_BARRIER): CB2_SENS_END
2023-05-04 13:48:35,965; WARNING ; PM                  ; machine   ; switch_state             ( 78); CB2: Switching state to: WAIT
2023-05-04 13:48:35,968; INFO    ; PM_CB               ; actuator  ; start                    (274); PM_CB_BWD :Started actuator
2023-05-04 13:48:35,969; DEBUG   ; PM                  ; sensor    ; __init__                 ( 66); Created Sensor(LIGHT_BARRIER): PM_SENS_IN
2023-05-04 13:48:36,564; INFO    ; PM_UP               ; sensor    ; wait_for_detect          (139); PM_REF_SW_TOP :Detection
2023-05-04 13:48:36,566; INFO    ; PM_UP               ; actuator  ; stop                     (284); PM_UP :Stopped actuator
2023-05-04 13:48:36,567; DEBUG   ; PM_UP               ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): PM_REF_SW_TOP
2023-05-04 13:48:38,684; INFO    ; PM                  ; sensor    ; wait_for_detect          (139); PM_SENS_IN :Detection
2023-05-04 13:48:38,685; DEBUG   ; PM                  ; sensor    ; __del__                  ( 70); Destroyed Sensor(LIGHT_BARRIER): PM_SENS_IN
2023-05-04 13:48:38,687; WARNING ; PM                  ; machine   ; switch_state             ( 78); CB2: Switching state to: RUN
2023-05-04 13:48:38,688; DEBUG   ; PM                  ; actuator  ; __init__                 ( 59); Created Actuator: CB2
2023-05-04 13:48:38,689; INFO    ; PM                  ; actuator  ; run_to_sensor            ( 82); CB2_BWD :Actuator running to sensor: CB2_SENS_START
2023-05-04 13:48:38,690; DEBUG   ; PM                  ; sensor    ; __init__                 ( 66); Created Sensor(LIGHT_BARRIER): CB2_SENS_START
2023-05-04 13:48:38,691; INFO    ; PM                  ; actuator  ; start                    (274); CB2_BWD :Started actuator
2023-05-04 13:48:40,184; INFO    ; PM_CB               ; sensor    ; wait_for_detect          (139); CB2_SENS_END :Detection
2023-05-04 13:48:40,185; INFO    ; PM_CB               ; actuator  ; stop                     (284); PM_CB_BWD :Stopped actuator
2023-05-04 13:48:40,187; DEBUG   ; PM_CB               ; sensor    ; __del__                  ( 70); Destroyed Sensor(LIGHT_BARRIER): CB2_SENS_END
2023-05-04 13:48:40,187; WARNING ; PM_CB               ; machine   ; switch_state             ( 78); PM_CB: Switching state to: END
2023-05-04 13:48:40,188; DEBUG   ; PM_CB               ; actuator  ; __del__                  ( 63); Destroyed Actuator: PM_CB
2023-05-04 13:48:43,524; INFO    ; PM                  ; sensor    ; wait_for_detect          (139); CB2_SENS_START :Detection
2023-05-04 13:48:43,675; INFO    ; PM                  ; actuator  ; stop                     (284); CB2_BWD :Stopped actuator
2023-05-04 13:48:43,676; DEBUG   ; PM                  ; sensor    ; __del__                  ( 70); Destroyed Sensor(LIGHT_BARRIER): CB2_SENS_START
2023-05-04 13:48:43,677; WARNING ; PM                  ; machine   ; switch_state             ( 78); CB2: Switching state to: END
2023-05-04 13:48:43,678; DEBUG   ; PM                  ; actuator  ; __del__                  ( 63); Destroyed Actuator: CB2
2023-05-04 13:48:43,679; DEBUG   ; PM                  ; conveyor  ; __del__                  ( 46); Destroyed Conveyor: CB2
2023-05-04 13:48:43,679; DEBUG   ; PM                  ; actuator  ; __del__                  ( 63); Destroyed Actuator: PM
2023-05-04 13:48:43,680; DEBUG   ; PM                  ; conveyor  ; __del__                  ( 46); Destroyed Conveyor: PM_CB
2023-05-04 13:48:43,680; WARNING ; PM                  ; machine   ; switch_state             ( 78); PM: Switching state to: END
2023-05-04 13:48:43,689; WARNING ; MainThread          ; machine   ; switch_state             ( 78); Main: Switching state to: GR1_2
2023-05-04 13:48:43,713; DEBUG   ; MainThread          ; punch_mach; __del__                  ( 44); Destroyed Punching Machine: PM
2023-05-04 13:48:43,714; INFO    ; GR1                 ; robot_3d  ; move_to_position         (170); GR1 :Moving to Position: (r:-, h:-, v:2000)
2023-05-04 13:48:43,715; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: TO_DESTINATION
2023-05-04 13:48:43,717; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (219); GR1 :Moving axes to: (r:-, h:-, v:2000)
2023-05-04 13:48:43,728; INFO    ; GR1_DOWN            ; actuator  ; run_to_encoder_value     (163); GR1_DOWN :Actuator running to value: 2000, at: GR1_VERTICAL_ENCODER
2023-05-04 13:48:43,729; INFO    ; GR1_DOWN            ; actuator  ; start                    (274); GR1_DOWN :Started actuator
2023-05-04 13:48:44,628; INFO    ; GR1_DOWN            ; sensor    ; wait_for_encoder         (174); GR1_VERTICAL_ENCODER :Value reached: 1960
2023-05-04 13:48:44,629; INFO    ; GR1_DOWN            ; actuator  ; run_to_encoder_value     (183); GR1_DOWN :Stopped at: 1960
2023-05-04 13:48:44,631; INFO    ; GR1_DOWN            ; actuator  ; stop                     (284); GR1_DOWN :Stopped actuator
2023-05-04 13:48:44,633; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (249); GR1 :Axes moved to: (r:-, h:-, v:2000)
2023-05-04 13:48:44,635; INFO    ; GR1                 ; robot_3d  ; move_to_position         (207); GR1 :Position reached: (r:-, h:-, v:2000)
2023-05-04 13:48:44,636; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: END
2023-05-04 13:48:44,649; INFO    ; GR1                 ; grip_robot; grip                     ( 65); GR1 :Gripping
2023-05-04 13:48:44,650; INFO    ; GR1                 ; actuator  ; run_to_encoder_value     (163); GR1_CLOSE :Actuator running to value: 12, at: GR1_CLAW_COUNTER
2023-05-04 13:48:44,651; INFO    ; GR1                 ; actuator  ; start                    (274); GR1_CLOSE :Started actuator
2023-05-04 13:48:44,984; INFO    ; GR1                 ; sensor    ; wait_for_encoder         (174); GR1_CLAW_COUNTER :Value reached: 12
2023-05-04 13:48:44,985; INFO    ; GR1                 ; actuator  ; run_to_encoder_value     (183); GR1_CLOSE :Stopped at: 12
2023-05-04 13:48:44,985; INFO    ; GR1                 ; actuator  ; stop                     (284); GR1_CLOSE :Stopped actuator
2023-05-04 13:48:44,986; INFO    ; GR1                 ; robot_3d  ; move_to_position         (170); GR1 :Moving to Position: (r:2305, h:40, v:1550)
2023-05-04 13:48:44,987; WARNING ; GR1                 ; machine   ; switch_state             ( 78); GR1: Switching state to: TO_MOVING_POS
2023-05-04 13:48:44,988; INFO    ; GR1                 ; robot_3d  ; move_all_axes            (219); GR1 :Moving axes to: (r:-, h:-, v:1400)
